ID,group,round,sex,sexed_total,know_stirisk,know_stisym,know_preg,comf_bc,coomf_bc_barrier,SOIBEHAVIOR,SOIATTITUDE,SOIDESIRE,SOITOTAL,SEX_DISGUST,MORAL_DISGUST,PATH_DISGUST,long_condoms,short_condoms,knowledge,intx_bc,intx_barrier
1,COVID,2, ,0, , , , , , , , , , , , , , , , , 
2,COVID,2,1,0, , , , , ,3.66666666666667,5,4.33333333333333,4.33333333333333,4,3.57142857142857,3.71428571428571, , , , , 
3,COVID,2,2,0, , , , , ,1.33333333333333,1,1,1.11111111111111,5,4.85714285714286,5.71428571428571, , , , , 
4,COVID,2, ,0, , , , , , , , , , , , , , , , , 
5,COVID,2,1,0, , , , , ,1.66666666666667,7.33333333333333,3,4,2,4.57142857142857,4.71428571428571, , , , , 
6,COVID,2,1,0, , , , , ,2.33333333333333,5.33333333333333,3,3.55555555555556,2.71428571428571,2.28571428571429,3.85714285714286, , , , , 
7,COVID,2,1,0, , , , , ,6,6.33333333333333,9,7.11111111111111,4.57142857142857,4.57142857142857,5.28571428571429, , , , , 
8,COVID,2,1,0, , , , , ,5.33333333333333,4.33333333333333,6,5.22222222222222,3,3.42857142857143,3.42857142857143, , , , , 
9,COVID,2,2,0, , , , , ,6.66666666666667,7,6.66666666666667,6.77777777777778,4,3.57142857142857,3.85714285714286, , , , , 
10,COVID,2,1,0, , , , , ,2,1.33333333333333,3.33333333333333,2.22222222222222,5,4.14285714285714,3, , , , , 
11,COVID,2,1,0, , , , , ,2,9,5,5.33333333333333,.857142857142857,5,3.71428571428571, , , , , 
12,COVID,2,1,0, , , , , ,7.66666666666667,6.66666666666667,8,7.44444444444445,4.14285714285714,3.57142857142857,4.28571428571429, , , , , 
13,COVID,2, ,0, , , , , , , , , , , , , , , , , 
14,COVID,2,1,0, , , , , , , , , , , , , , , , , 
15,COVID,2, ,0, , , , , , , , , , , , , , , , , 
16,COVID,2,1,0, , , , , , , , , , , , , , , , , 
17,COVID,2,2,0, , , , , ,2,5,5,4,2.85714285714286,2,2.85714285714286, , , , , 
18,COVID,2,1,0, , , , , ,6,4.33333333333333,6,5.44444444444444,3.57142857142857,3.85714285714286,3.85714285714286, , , , , 
19,COVID,2,1,0, , , , , ,2,5,4.66666666666667,3.88888888888889,1.14285714285714,4,4.57142857142857, , , , , 
20,COVID,2, ,0, , , , , , , , , , , , , , , , , 
21,COVID,2, ,0, , , , , , , , , , , , , , , , , 
22,COVID,2, ,0, , , , , , , , , , , , , , , , , 
23,COVID,2,1,0, , , , , ,6,6,7,6.33333333333333,4.14285714285714,4.57142857142857,3.71428571428571, , , , , 
24,COVID,2,1,0, , , , , ,5.66666666666667,5.33333333333333,6,5.66666666666667,4,4.14285714285714,4, , , , , 
25,COVID,2,1,0, , , , , , , , , , , , , , , , , 
26,COVID,2,1,0, , , , , , , , , , , , , , , , , 
27,COVID,2, ,0, , , , , , , , , , , , , , , , , 
28,COVID,2,1,0, , , , , , , , , , , , , , , , , 
29,COVID,2,1,2,3,4,4,2,4,6,4.66666666666667,5.66666666666667,5.44444444444445,4.14285714285714,3.71428571428571,4.14285714285714,47.5,38.5,3.66666666666667,7.33333333333333,14.6666666666667
30,COVID,2,2,5,4,3,3,5,3,4.66666666666667,4.33333333333333,5.66666666666667,4.88888888888889,3.28571428571429,3.14285714285714,4,28.5,37,3.33333333333333,16.6666666666667,10
31,COVID,2,1,0, , , , , , , , , , , , , , , , , 
32,COVID,2,1,0, , , , , , , , , , , , , , , , , 
33,COVID,2,1,0, , , , , , , , , , , , , , , , , 
34,COVID,2,1,0, , , , , , , , , , , , , , , , , 
35,COVID,2,1,0, , , , , , , , , , , , , , , , , 
36,COVID,2,1,3,5,4,5,1,2,8.66666666666667,6,8.66666666666667,7.77777777777778,5.57142857142857,5.57142857142857,5.57142857142857,57,60,4.66666666666667,4.66666666666667,9.33333333333333
37,COVID,2,2,0,4,4,5,2,1,2,5.66666666666667,6.33333333333333,4.66666666666667,4.85714285714286,4.71428571428571,4.57142857142857,22.5, ,4.33333333333333,8.66666666666667,4.33333333333333
38,COVID,2, ,0, , , , , , , , , , , , , , , , , 
39,COVID,2,1,1,3,5,4,5,3,3.66666666666667,5,4.33333333333333,4.33333333333333,2.85714285714286,2.71428571428571,2.57142857142857,27.5,49.5,4,20,12
40,COVID,2, ,0, , , , , , , , , , , , , , , , , 
41,COVID,2, ,0, , , , , , , , , , , , , , , , , 
42,COVID,2, ,0, , , , , , , , , , , , , , , , , 
43,COVID,2, ,0, , , , , , , , , , , , , , , , , 
44,COVID,2,1,0,3,2,3,4,3,1.33333333333333,5,5,3.77777777777778,5,4,4.42857142857143,6,11,2.66666666666667,10.6666666666667,8
45,COVID,2,1,0,4,4,4,3,1,2.66666666666667,6.33333333333333,7.33333333333333,5.44444444444444,.428571428571429,1.14285714285714,.428571428571429,2.5,7,4,12,4
46,COVID,2,1,0,2,2,1,6,6,2,2,5.33333333333333,3.11111111111111,4.71428571428571,3.85714285714286,3.57142857142857, , ,1.66666666666667,10,10
47,COVID,2,1,0,3,2,3,4,3,5.66666666666667,7,6,6.22222222222222,4.14285714285714,2.85714285714286,2.85714285714286,53,47,2.66666666666667,10.6666666666667,8
48,COVID,2,1,0,4,5,4,2,1,5.66666666666667,5,6.33333333333333,5.66666666666667,4.71428571428571,4.14285714285714,4.71428571428571,77,55.5,4.33333333333333,8.66666666666667,4.33333333333333
49,COVID,2, ,0, , , , , , , , , , , , , , , , , 
50,COVID,2, ,0, , , , , , , , , , , , , , , , , 
51,COVID,2, ,0, , , , , , , , , , , , , , , , , 
52,COVID,2, ,0, , , , , , , , , , , , , , , , , 
53,COVID,2, ,0, , , , , , , , , , , , , , , , , 
54,COVID,2, ,0, , , , , , , , , , , , , , , , , 
55,COVID,2,1,3,2,3,2,2,3,3,4.66666666666667,3.33333333333333,3.66666666666667,3.85714285714286,2.71428571428571,3.28571428571429,41.5,70.5,2.33333333333333,4.66666666666667,7
56,COVID,2,2,0, , , , , ,6,5,6.66666666666667,5.88888888888889,4.14285714285714,4.14285714285714,3.85714285714286, , , , , 
57,COVID,2,1,0,3,4,3,3,5,6,5.33333333333333,5,5.44444444444444,3.57142857142857,3.57142857142857,4, , ,3.33333333333333,10,16.6666666666667
58,COVID,2,1,0,4,3,2,4,2,6.33333333333333,5.66666666666667,6,6,2.42857142857143,2.71428571428571,3,40.5,32.5,3,12,6
59,COVID,2,1,4,3,4,3,4,5,2,6.66666666666667,5,4.55555555555556,3.85714285714286,3,3.42857142857143,3, ,3.33333333333333,13.3333333333333,16.6666666666667
60,COVID,2,1,0,2,4,3,5,4,4.66666666666667,5,5,4.88888888888889,3.28571428571429,3.42857142857143,3.42857142857143, , ,3,15,12
61,COVID,2,2,0,2,4,3,5,3,4.66666666666667,4.66666666666667,5.33333333333333,4.88888888888889,3,4.28571428571429,3, , ,3,15,9
62,COVID,2,1,2,3,4,3,4,5,5.33333333333333,5.33333333333333,6,5.55555555555555,3.71428571428571,4,4.14285714285714,33.5,40,3.33333333333333,13.3333333333333,16.6666666666667
63,COVID,2, ,0, , , , , , , , , , , , , , , , , 
64,COVID,2,1,1,4,3,2,5,6,6,6.33333333333333,5,5.77777777777778,3.85714285714286,4.28571428571429,3.71428571428571,77,65,3,15,18
65,COVID,2,2,2,4,3,2,5,6,6.66666666666667,7,5.33333333333333,6.33333333333333,3.71428571428571,3.85714285714286,4.42857142857143,64.5,72,3,15,18
66,COVID,2,1,0,3,2,3,3,4,4.66666666666667,4.33333333333333,5,4.66666666666667,3.57142857142857,3.57142857142857,3.42857142857143,50.5,50,2.66666666666667,8,10.6666666666667
67,COVID,2,1,0,4,3,4,2,3,6,6.33333333333333,6.66666666666667,6.33333333333333,4.28571428571429,3.85714285714286,3.71428571428571,53,46.5,3.66666666666667,7.33333333333333,11
68,COVID,2,1,3,5,4,5,1,2,8.66666666666667,6,8.66666666666667,7.77777777777778,5.57142857142857,5.57142857142857,5.57142857142857,66,54,4.66666666666667,4.66666666666667,9.33333333333333
69,COVID,2,1,0, , , , , , , , , , , , , , , , , 
70,COVID,2,1,0, , , , , , , , , , , , , , , , , 
71,COVID,2,1,0,3,3,4,7,1,1.66666666666667,3,2.66666666666667,2.44444444444444,3.57142857142857,4.71428571428571,4.28571428571429, , ,3.33333333333333,23.3333333333333,3.33333333333333
72,COVID,2,1,3,2,3,4,4,5,6,4,5.66666666666667,5.22222222222222,4.14285714285714,3,3.28571428571429,77.5,78.5,3,12,15
73,COVID,2,1,3,5,4,5,7,6,8.66666666666667,6,8.66666666666667,7.77777777777778,5.57142857142857,5.57142857142857,5.57142857142857,61.5,46,4.66666666666667,32.6666666666667,28
74,COVID,2,1,3,2,3,4,5,3,5.66666666666667,5.33333333333333,5.66666666666667,5.55555555555556,3,3.14285714285714,3.14285714285714,82.5,91,3,15,9
75,COVID,2,1,3,5,4,5,1,2,8.66666666666667,6,8.66666666666667,7.77777777777778,5.57142857142857,5.57142857142857,5.57142857142857,64.5,43.5,4.66666666666667,4.66666666666667,9.33333333333333
76,COVID,2,1,5,4,5,3,6,5,7,6.33333333333333,8,7.11111111111111,4.85714285714286,4.71428571428571,4.71428571428571,82.5,71.5,4,24,20
77,COVID,2,1,4,5,5,5,2,1,2,2.66666666666667,2.33333333333333,2.33333333333333,3.57142857142857,3.14285714285714,3,75, ,5,10,5
78,COVID,2,1,2,4,5,4,6,7,7,5.33333333333333,7.66666666666667,6.66666666666667,5.14285714285714,4.85714285714286,5.14285714285714,95.5,96,4.33333333333333,26,30.3333333333333
79,COVID,2,1,2,5,4,4,7,6,7,5.66666666666667,7.66666666666667,6.77777777777778,5.42857142857143,5,5.14285714285714,93.5,98,4.33333333333333,30.3333333333333,26
80,COVID,2,1,0,1,1,1,7,1,1,3.66666666666667,1.33333333333333,2,6,5.57142857142857,4.42857142857143, , ,1,7,1
81,COVID,2,1,0,4,4,3,3,4,2.66666666666667,4,2.33333333333333,3,3.42857142857143,3.42857142857143,3.42857142857143,54.5,61.5,3.66666666666667,11,14.6666666666667
82,COVID,2,1,0, , , , , , , , , , , , , , , , , 
83,COVID,2, ,0, , , , , , , , , , , , , , , , , 
84,COVID,2,1,1,4,3,2,2,3,5,4.33333333333333,6,5.11111111111111,3.42857142857143,4.14285714285714,3.28571428571429,50.5,64,3,6,9
85,COVID,2,2,1,3,2,3,2,1,2,3.66666666666667,1.33333333333333,2.33333333333333,4.28571428571429,4.57142857142857,4.57142857142857,62.5,47,2.66666666666667,5.33333333333333,2.66666666666667
86,COVID,2,1,0,5,4,4,6,5,1,3.33333333333333,1,1.77777777777778,3.42857142857143,3,2.42857142857143,58, ,4.33333333333333,26,21.6666666666667
